cag,9786387,10667,23,81
cba,9994775,10523,19,82
cbb,9777494,9080,171,356
cbc,9886720,8551,202,301
cbd,9752294,8830,109,293
cbe,9923557,8197,175,336
cbf,9609024,9967,30,70
cbg,9938715,8700,179,257
cca,9991317,8278,83,217
ccb,9993794,9500,24,120
ccc,9883834,8378,390,563
ccd,9978972,9825,82,175
cce,9692627,9213,15,51
ccf,9933217,8024,211,319
ccg,9935474,9677,127,216
cda,9995436,9229,144,320
cdb,9945409,8795,137,206
cdc,9954420,9177,19,47
cdd,9795958,8997,24,112
cde,9846135,10102,23,53
cdf,9993179,8902,27,57
cdg,9941831,8658,119,298
cea,9496873,9890,54,120
ceb,9814612,10774,21,80
cec,9818337,8653,6,16
ced,9919601,8844,22,53
cee,9954320,9216,193,371
cef,9460133,9084,30,44
ceg,9912836,11196,116,220
cfa,9600488,7841,6,19
cfb,9796015,10250,50,208
cfc,9706532,9920,133,231
cfd,9715763,8779,101,216
cfe,9912674,10500,57,116
cff,9977606,7079,28,49
cfg,9943318,9551,138,306
cga,9740571,8558,106,331
cgb,9513003,9608,397,900
cgc,9723670,9489,95,134
cgd,9797252,8568,169,319
cge,9571045,8839,77,111
cgf,9955109,9130,148,282
cgg,9841143,6438,85,128
daa,9771375,8908,56,87
dab,9939555,9348,40,63
dac,9956886,6730,43,117
dad,9623310,8372,61,122
dae,9666093,9247,6,19
daf,9364367,10293,20,48
dag,9920721,9011,268,359
dba,9958731,9540,42,124
dbb,9996541,9283,51,152
dbc,9717193,8866,220,386
dbd,9836471,8605,32,50
dbe,9819951,9258,156,263
dbf,9763216,8996,145,282
dbg,9962457,9959,104,225
dca,9933547,8260,198,331
dcb,9952294,6840,70,129
dcc,9787861,8715,149,218
dcd,9741187,8355,21,39
dce,9891163,8707,128,253
dcf,9969723,9439,388,685
dcg,9900570,9776,99,247
dda,9828230,8448,17,31
ddb,9994053,7843,30,56
ddc,9948926,9520,43,87
ddd,9847523,9716,232,460
dde,9982925,8003,79,163
ddf,9868038,8029,73,276
ddg,9920871,8850,60,144
dea,9994828,8163,286,503
deb,9799978,9525,103,170
dec,9733464,8842,206,489
ded,9952913,9973,142,234
dee,9761904,9539,34,66
def,9324355,8955,87,138
deg,9748743,9980,188,449
dfa,9974198,7505,135,180
dfb,9840887,8139,19,53
dfc,9800389,8995,50,84
dfd,9960428,9910,151,234
dfe,9785724,8883,26,81
dff,9709771,10301,36,68
dfg,9868548,7886,43,71
dga,9877355,8907,168,274
dgb,9978824,6743,42,145
dgc,9961591,9581,97,168
dgd,9768329,8950,17,26
dge,9797382,9732,199,294
dgf,9741033,8517,5,9
dgg,9632279,10023,47,95
eaa,9947581,9076,275,428
eab,9940999,8675,188,380
eac,9859483,7933,32,60
ead,9932335,8560,85,124
eae,9790527,11611,40,132
eaf,9899371,8114,341,672
eag,9997942,9621,192,355
eba,9672754,8993,332,800
ebb,9720621,10114,95,244
ebc,9644272,9220,133,187
ebd,9934286,9868,13,34
ebe,9780741,10019,8,25
ebf,9977300,7947,83,176
ebg,9628643,9818,110,283
eca,9902602,9151,120,210
ecb,9538210,8896,339,592
ecc,9729060,9829,146,215
ecd,9983663,8783,87,146
ece,9611583,10632,26,90
ecf,9985937,7548,116,348
ecg,9987282,11803,87,194
eda,9846064,7660,6,18
edb,9887847,8926,51,135
edc,9986600,8902,210,307
edd,9894408,8774,161,238
ede,9732442,7996,80,113
edf,9945240,9464,7,19
edg,9737990,8559,71,125
eea,9814185,9448,148,321
eeb,9785124,9163,121,216
eec,9970042,8791,180,260
eed,9798754,9743,207,327
eee,9967100,9795,7,18
eef,9995292,9705,262,368
eeg,9989540,9104,12,32
efa,9999707,7694,102,256
efb,9839860,9412,95,233
efc,9983621,8155,176,293
efd,9642975,8817,13,37
efe,9554705,8138,189,324
eff,9842273,9629,110,146
efg,9913303,8657,59,126
ega,9920713,8438,264,533
egb,9752755,8997,250,373
egc,9833731,9710,13,24
egd,9948864,8244,33,86
ege,9804878,8075,26,67
egf,9597822,8260,13,36
egg,9899991,9707,18,37
faa,9897494,8695,78,156
fab,9723119,9044,108,200
fac,9714490,9074,8,21
fad,9992174,9822,66,159
fae,9983116,8279,27,69
faf,9805540,8140,154,319
fag,9711830,8266,111,273
fba,9977988,8099,464,808
fbb,9978429,8376,29,45
fbc,9811584,9190,66,170
fbd,9915044,8609,54,183
fbe,9930996,8904,112,271
fbf,9970563,11064,111,174
fbg,9723341,10544,35,79
fca,9699899,8689,61,184
fcb,9994152,8475,17,44
fcc,9985620,8854,73,117
fcd,9984512,9674,70,128
fce,9845878,8783,21,49
fcf,9955431,8899,177,292
fcg,9957291,9782,113,293
fda,9257037,7290,17,50
fdb,9424083,9203,19,59
fdc,9786137,10063,220,328
fdd,9864335,8231,93,211
fde,9844095,8511,20,59
fdf,9943875,10136,189,380
fdg,9997590,9258,139,323
fea,9779091,9048,11,43
feb,9902326,8372,167,342
fec,9363752,8920,114,293
fed,9777392,7983,37,84
fee,9972808,7667,39,67
fef,9789222,7690,44,153
feg,9855476,10559,276,411
ffa,9772447,7707,39,86
ffb,9985684,7865,120,297
ffc,9910460,11322,104,273
ffd,9989273,8867,64,94
ffe,9938634,9127,28,110
fff,9815345,10260,344,542
ffg,9940036,10159,170,262
fga,9828487,10253,26,74
fgb,9809739,8604,130,216
fgc,9780099,9963,94,146
fgd,9947907,7585,5,11
fge,9591663,9109,7,20
fgf,9890129,9297,69,155
fgg,9853109,10548,92,252
gaa,9770193,9050,7,28
gab,9601499,8180,55,106
gac,9942377,9337,34,61
gad,9859600,8881,164,249
gae,9873862,9073,31,95
gaf,9954332,7421,5,13
gag,9818834,9104,85,264
gba,9639015,10112,44,135
gbb,9735656,8264,107,194
gbc,9951073,9042,7,23
gbd,9779154,8243,44,66
gbe,9857935,7718,68,93
gbf,9774502,8778,86,142
gbg,9704977,7235,22,88
gca,9986733,8670,149,301
gcb,9809511,9863,107,194
gcc,9872814,8013,45,86
gcd,9975241,7666,116,234
gce,9911634,8481,193,389
gcf,9781629,9087,72,248
gcg,9928145,8352,48,100
gda,9796207,8269,25,102
gdb,9984768,7817,180,308
gdc,9883733,10048,17,62
gdd,9886719,8626,210,335
gde,9886836,10901,7,25
gdf,9927827,7392,35,60
gdg,9851322,9720,65,89
gea,9895148,10715,220,358
geb,9992902,11060,531,866
gec,9893773,7996,41,117
ged,9911837,8736,80,151
gee,9847951,9207,39,147
gef,9549260,9557,9,39
geg,9870429,8864,13,27
gfa,9602054,9728,180,348
gfb,9960689,9704,145,229
gfc,9301436,10405,9,26
gfd,9911156,7191,23,42
gfe,9848369,8065,21,88
gff,9732063,9214,154,343
gfg,9551700,8076,37,114
gga,9624319,8432,97,170
ggb,9977762,7932,187,341
ggc,9733598,7785,8,24
ggd,9665557,8774,92,213
gge,9970720,7608,70,92
ggf,9879853,7296,96,230
ggg,9688074,10368,229,328
